Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	PrecursorScanNum	PrecursorFeatureIndex	PrecursorMz	PrecursorIntensity	PrecursorCharge	PrecursorSNR	PrecursorMonoisotopicMass	PrecursorQscore	PrecursorQscore2D	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
32	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	995.038704	994.470149	2220.92	1	1	7	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.986362	0.986362	1	5.52394	5.52394	0.776637	1	995.474284	997.484721	0.935032	0.935032
33	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1000.088852	999.520296	951.264	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.978414	0.978414	1	0.610397	0.610396	0.920166	1	1000.524949	1003.537631	0.901151	0.901151
34	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1000.092419	999.523863	1316.15	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.989592	0.989592	1	1.2236	1.2236	0.556476	1	1000.528702	1003.541400	0.929084	0.929084
35	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1000.099074	999.530518	1115.02	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.862851	0.862851	1	0.399844	0.399844	0.611014	1	1000.536207	1003.548940	0.452173	0.452173
36	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1024.150187	1023.557848	1190.09	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.879582	0.879582	1	1.43114	1.43114	0.71607	1	1024.561394	1027.574000	0.560888	0.560888
37	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1051.151923	1050.548474	897.658	1	2	15	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.99019	0.985812	1	1.68966	4.821	0.653211	2	526.279719	527.286149	0.926765	0.926765
38	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1053.081221	1052.477772	366.644	1	1	6	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.9868	0.9868	1	2.78739	3.7288	0.0627458	1	1053.481097	1054.491399	0.936299	0.936299
39	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1059.130308	1058.526858	1343.21	1	1	4	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.954756	0.954756	1	0.998714	0.998714	0.152358	1	1059.532059	1060.538794	0.869162	0.869162
40	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1068.186581	1067.571952	5449.5	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.997121	0.997121	1	2.0431	2.0431	1.08455	1	1068.578307	1071.587591	0.936631	0.936631
41	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1068.187674	1067.573045	5645.45	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.999148	0.999148	1	2.35718	2.35718	0.493323	1	1068.578307	1071.591750	0.945979	0.945979
