FeatureIndex	FileName	MSLevel	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
258	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	3911.154436	3913.517611	2	70.7372	70.7763	2.34778	70.7372	9085.22	6073.53	10665.1	3	4	2	0.850989	0.862525973939111	5537.56;3547.66	0;440.594;3530.65;2678.58;1081.28;476.855;419.382;457.887
259	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	5057.676807	5060.828584	3	70.6085	70.7763	10.069	70.7763	14519.5	5986.04	52711.4	3	5	3	0.862835	0.887012916860198	4501.49;4032.01;5986.04	0;315.064;2448.79;2913.09;5016.02;2785.38;615.673;425.533
260	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	6091.193778	6094.957578	2	70.4155	70.6477	13.9334	70.4155	6119.02	3132.53	42629.5	6	6	1	0.904726	0.842301254610663	6119.02	0;0;1286.86;1059.75;1124.26;1699.55;948.596
261	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8828.225918	8833.689011	2	66.1073	66.918	48.6374	66.918	713128	678421	1.73424e+07	6	7	2	0.948068	0.982369109639021	25056.2;688072	0;8041.1;23024.8;49290.4;75471.8;102439;109184;104254;91185.7;60325.2;40018.8;25648.8;13622.3;5329.77;5292.5
262	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8031.812000	8036.803537	3	66.0824	66.918	50.1349	66.918	131410	67120.5	1.92411e+06	6	7	2	0.937108	0.999198172996998	93199.3;38210.6	0;1679.18;4554.89;10400;17045.2;23211.3;23925.3;18017.6;13325.7;8574.35;6513.08;3590.09;573.244
263	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8318.958000	8324.116442	2	66.5319	66.918	23.1635	66.918	70674.6	59231.9	818534	6	6	1	0.924222	0.998048070765261	70674.6	0;0;1649.9;5412.43;8264.63;11966.4;12618.5;11476.2;8325.71;6805.1;2773.65;1382.2
264	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8529.092842	8534.386637	2	66.0824	66.918	50.1349	66.918	47884.8	41651.4	1.20035e+06	6	7	2	0.954232	0.963557857246599	11139.1;36745.7	0;0;2127.13;3190.06;7123.5;7355.32;9133.04;6466.79;5376.72;3964.81;1827.46;1320.01
265	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8231.931092	8237.036090	2	66.0824	66.918	50.1349	66.918	31282.2	17300.8	784166	6	7	2	0.90796	0.931333260879125	17300.8;13981.4	0;0;0;2183.88;4554.97;6131.44;5808.69;3118.88;4501.52;1578.23;1914.92;1489.68
266	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8150.835252	8155.891829	2	66.0824	66.5319	26.9715	66.5319	16539.9	8776.78	223053	6	7	2	0.887677	0.780832164281681	9237.39;7302.51	0;932.158;0;570.921;3141.38;4182.73;3477.45;1638.57;601.484;1449.42;0;545.797
267	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	5649.199013	5652.704886	2	66.5319	66.918	23.1635	66.5319	12170.6	6732.7	140957	5	5	1	0.885152	0.933899304305236	12170.6	414.337;0;2114.18;2344.88;1767.47;2872.49;2357.47;714.163
