Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
40	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	1791.801712	1790.659804	103562	2	2	3	0.947679	0.947679	1	0.279602	0.279602	0.385714	2	896.336792	897.339478	0.834517	0.834517
41	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	1848.387099	1847.217438	75712.7	2	2	2	0.905682	0.905682	1	0.335347	0.335347	0.19798	2	924.616150	925.117004	0.684922	0.684922
42	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	1885.660105	1884.478745	108430	2	2	2	0.903786	0.903786	1	0.696795	0.696795	0.388142	2	943.247009	943.747437	0.678468	0.678468
43	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	2036.649801	2035.381280	92548.5	2	2	2	0.855567	0.855567	1	0.406017	0.406017	0.239571	2	1018.697754	1019.199463	0.431373	0.431373
44	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	2105.307705	2104.000389	217365	2	2	3	0.927873	0.927873	1	0.565889	0.565889	0.81122	2	1053.006470	1054.010132	0.761521	0.761521
45	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	2157.523073	2156.181827	58661.5	2	2	2	0.867114	0.867114	1	0.473981	0.473981	1.01787	2	1079.099365	1079.598267	0.458329	0.458329
46	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	2936.929465	2935.134139	127966	3	3	3	0.902004	0.902004	1	0.949156	0.949156	1.0798	3	979.384338	980.054871	0.647587	0.647587
47	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	2985.249488	2983.428981	342750	3	3	4	0.857154	0.857154	1	0.27104	0.27104	0.811517	3	995.484009	997.152588	0.409338	0.409338
48	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	3088.316782	3086.435554	157986	3	3	3	0.866403	0.866403	1	0.635159	0.635159	1.38241	3	1029.818604	1030.486328	0.442900	0.442900
49	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	3146.120545	3144.177195	114180	3	3	3	0.877013	0.877013	1	0.324995	0.324995	2.21006	3	1049.064819	1049.737183	0.450807	0.450807
50	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	3148.021539	3146.078190	166755	2	2	3	0.864293	0.864293	1	1.53042	1.53042	0.955848	2	1574.546753	1575.548828	0.471656	0.471656
51	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	4114.181264	4111.595761	207113	4	4	4	0.855542	0.855542	1	0.748982	0.748982	1.92638	4	1029.158569	1030.155884	0.367001	0.367001
52	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	4684.555973	4681.622289	424791	3	3	6	0.90289	0.90289	1	2.06953	2.06953	1.04138	3	1561.881348	1563.885132	0.672500	0.672500
53	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	4719.230665	4716.268686	241863	4	4	4	0.936279	0.936279	1	0.425843	1.15131	1.34409	4	1180.327393	1181.074951	0.766980	0.766980
54	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	29	65.086594	43	8953.815228	8948.277131	552939	7	7	7	0.866745	0.866745	1	20.8257	20.8257	0.817447	7	1279.333374	1280.478760	0.591109	0.999821
55	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	9052.874884	9047.283224	880120	7	8	15	0.874795	0.846615	1	11.1003	10.6016	1.86082	7	1293.475098	1294.761353	0.548982	0.548982
56	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	36	65.086594	43	9066.917352	9061.325692	1.52745e+06	7	8	18	0.955673	0.83646	1	20.1238	11.3272	2.0995	7	1295.630127	1297.055176	0.865366	0.966681
57	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	40	65.086594	43	9068.933343	9063.318489	1.94606e+06	7	10	26	0.864725	0.814967	1	5.81313	3.32904	1.24224	9	1008.043335	1009.264893	0.497224	0.711688
58	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	9080.941248	9075.326394	958521	7	8	14	0.922794	0.904567	1	14.5774	17.6451	1.52248	8	1135.552368	1136.675293	0.788259	0.788259
59	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	70	65.086594	43	9081.964080	9076.349226	386312	7	7	7	0.867641	0.867641	1	7.82872	10.0961	1.83985	7	1297.918701	1299.486938	0.503093	0.553779
60	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	15	65.086594	43	9095.958394	9090.331790	4.05678e+06	7	9	30	0.949901	0.955997	1	14.9524	65.8944	1.10154	8	1137.295410	1138.550415	0.870787	0.999888
61	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	43	65.086594	43	9096.956954	9091.330350	905747	6	7	10	0.871759	0.893864	1	7.57001	6.95158	1.68386	7	1299.914795	1301.628052	0.544482	0.962129
62	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	1	65.086594	43	9110.974495	9105.347891	9.84803e+07	6	7	27	0.992062	0.993654	1	669.5	679.393	0.613241	6	1518.732056	1520.735107	0.975606	1.000000
63	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	5	65.086594	43	9129.962851	9124.322511	3.07864e+07	6	10	68	0.919612	0.923449	1	90.9208	50.2023	0.868954	8	1141.548462	1143.175171	0.857220	0.917192
